makes me feel like,gibt mir das Gefühl
Let's get this over with!,Bringen wir die Sache (hier) hinter uns!
You have show your colours.,Sie müssen Farbe bekennen.
be drain on pocket,auf der Tasche liegen
be reflection on somebody's character,kein gutes Licht auf werfen
be more papal than the pope,päpstlicher als der Papst sein
be more royalist than the king,päpstlicher als der Papst sein
be slapped with lawsuit,eine Klage an den Hals bekommen
beat the (living) daylights out of,grün und blau schlagen
eat out of house and home,die Haare vom Kopf essen
eat out of house and home,die Haare vom Kopf fressen
get bogged down on the question of,sich an festbeißen
have bone pick with,mit ein Hühnchen rupfen müssen
have pay through one's nose,tief in die Tasche greifen müssen
keep out of one's hair,sich vom Leib halten
not be in one's right mind,mit dem Klammerbeutel gepudert sein
put tight rein on,an die Kandare nehmen
bail on,im Stich lassen
herd cats,(einen Sack voll) Flöhe hüten
The die is cast.,Der Würfel ist gefallen.
give his her head,an der langen Leine führen
paint the town red,auf die Pauke hauen
Don't take that tone with me!,Sie vergreifen sich im Ton!
He thinks the world of you.,Er hält große Stücke auf Sie.
"Once upon time, (a long time ago,) ...",Es war einmal (vor langer Zeit) ...
That puts another complexion on things.,Das rückt die Sache in ein anderes Licht.
The rain was coming down in sheets.,Es schüttete wie aus Kübeln.
be like dog with two tails,glücklich wie ein Honigkuchenpferd sein
be one's own worst enemy,sich selbst (am meisten) im Weg stehen
give everyone an equal slice of the cake,nach dem Gießkannenprinzip verteilen
talk till one is blue in the face,sich den Mund fusselig reden
sell pup,übers Ohr hauen
be on easy street,es sich gut gehen lassen
was dead chuffed about it.,Ich freute mich darüber wie ein Schneekönig.
I'll keep my fingers crossed for you.,Ich drücke Ihnen die Daumen.
It's been madhouse here today.,Hier war heute der Teufel los.
Unverified Sb. has something coming out of his ears.,Etw. kommt zu den Ohren raus.
That puts another complexion on the matter.,Das rückt die Sache in ein anderes Licht.
There are plenty of other fish in the sea.,Andere Mütter haben auch schöne Töchter.
be as clear as mud,klar wie Kloßbrühe sein
paint tar with the same brush,über einen Kamm scheren
give the evil eye,einen bösen Blick zuwerfen
Don't buy pig in poke.,Man sollte die Katze nicht im Sack kaufen.
He takes the line of (the) least resistance.,Er schlägt den Weg des geringsten Widerstands ein.
can tell you thing or two about it.,Ich kann ein Lied davon singen.
pull oneself up by one's (own) bootstraps,sich selbst aus der Patsche helfen
put few drinks away,sich ein paar hinter die Binde kippen gießen
be the third wheel,das fünfte Rad (am Wagen) sein
He can tell you thing or two about it.,Er weiß ein Lied davon zu singen.
That cuts no ice with me.,Damit können Sie bei mir nicht landen.
You must handle him with kid gloves.,Sie müssen ihn wie ein rohes Ei behandeln.
go like bull at gate,mit der Tür ins Haus fallen
not be the sharpest tool in the shed,nicht das hellste Licht im Hafen sein
fly through an exam,eine Prüfung mit links bestehen
have bone pick with you.,Ich habe ein Hühnchen mit Ihnen zu rupfen.
You're looking for needle in haystack.,Da suchen Sie eine Stecknadel im Heuhaufen.
be staring in the face,klar auf der Hand liegen
make cat's-paw of,sich von die Kastanien aus dem Feuer holen lassen
clear the way,den Weg frei machen
start the ball rolling,den Stein ins Rollen bringen
show in rosy light,in rosigen Farben schildern
the long arm of the law,der lange Arm des Gesetzes
It's now or never.,Jetzt geht's um die Wurst.
The die is cast.,Die Würfel sind gefallen.
soft in the head,weich in der Birne
fit in seamlessly with,sich nahtlos in einfügen
put in the shade,in den Sack stecken
(as) blind as bat,(so) blind wie ein Maulwurf
It takes two tango.,Zum Tango gehören immer zwei.
set the wheels in motion,den Prozess in Gang setzen
stand there like stiff board,dastehen wie ein Stück Holz
the biggest joke of the year,die Lachnummer des Jahres
eat. lunch,in die Pfanne hauen
start the ball rolling,den Ball ins Rollen bringen
tread on toes,auf die Zehen treten
get the ball rolling,den Ball ins Rollen bringen
You don't look day over 60.,60 Jahre und kein bisschen älter.
go beyond the boundaries of,die Grenzen von sprengen
be in one's infancy,noch in den Kinderschuhen stecken
She's got finger in every pie.,Sie hat überall ihre Finger drin.
steal blind,gnadenlos über den Tisch ziehen
"May have word in your ear, please?",Darf ich Sie um ein Wort im Vertrauen bitten?
step on toes,auf die Zehen treten
take potshot at,eine Attacke gegen reiten
wouldn't like be in his shoes.,Ich möchte nicht in seiner Haut stecken.
You're meddling in things that ought not be meddled in.,"Du rührst an Dingen, die nicht angerührt werden sollten."
take pot shot at,eine Attacke gegen reiten
be staring in the face,direkt vor liegen
shoot oneself in the foot,sich (selbst) ins Bein schießen
bust gut (for,sich (für den Arsch aufreißen
I'm all with you on this one.,Da bin ich ganz bei Ihnen.
land job,(sich einen Job an Land ziehen
placed on hold,auf Eis gelegt
written in stone,in Stein gemeißelt
boot,obendrein
idiom,Dialekt
in fact,eigentlich
in fact,tatsächlich
in fact,vielmehr
on occasion,manchmal
boot,noch dazu
read lips,abschauen
read lips,absehen
run riot,randalieren
run riot,toben
run riot,wuchern
armchair critic,Möchtegernkritiker
virgin territory,Neuland
fault,allzu
no avail,erfolglos
no avail,vergebens
no avail,vergeblich
expression,Wendung
at heart,im Innersten
by degrees,allmählich
Good call!,Gute Idee!
How come?,Wieso?
in concert,gemeinsam
in fact,und zwar
"In fact, ...",Genau genommen ...
in hand,unter Kontrolle
let alone ...,geschweige denn ...
No way!,Keineswegs!
No way!,Niemals!
on occasion,öfter (einmal)
on occasion,zuweilen
on purpose,mutwillig
without demur,ohne Einwand
carry weight,Bedeutung haben
compare notes,Erfahrungen austauschen
compare notes,Meinungen austauschen
give ground,nachgeben
hang fire,zögern
make sense,Sinn haben
make sense,sinnvoll sein
remain firm,konsequent bleiben
ring false,unglaubhaft klingen
ring true,glaubhaft klingen
run riot,Amok laufen
run short,knapp werden
run short,sich verknappen
say die,aufgeben
see reason,Vernunft annehmen
stand firm,konsequent bleiben
take place,sich ereignen
talk big,großspurig reden
tread carefully,vorsichtig vorgehen
work miracles,Wunder bewirken
wreak havoc,Chaos stiften
bad egg,schlechter Mensch
blood bath,Blutbad
glaring question,offensichtliche Frage
tight spot,Klemme
along the way,währenddessen
as it were,gewissermaßen
as it were,sozusagen
As you were!,Weitermachen!
at any rate,jedenfalls
at close quarters,nahebei
Cross my heart!,Ehrenwort!
for that matter,eigentlich
in flash,plötzlich
in twinkling,augenblicklich
in way,gewissermaßen
in way,sozusagen
in high spirits,beschwingt
in high spirits,übermütig
in low spirits,bedrückt
in low spirits,deprimiert
in low spirits,niedergeschlagen
in the flesh,höchstpersönlich
in the flesh,leibhaftig
in the flesh,persönlich
in the main,großteils
in the main,hauptsächlich
in the process,währenddessen
into the bargain,obendrein
like flash,blitzartig
on that score,diesbezüglich
on the side,nebenbei
on the whole,insgesamt
fault,übertrieben
no avail,ohne Erfolg
no avail,umsonst
tried and tested,altbewährt
tried and trusted,altbewährt
Wait minute!,Augenblick!
with vengeance,vehement
with one accord,einmütig
without further ado,anstandslos
without further ado,kurzerhand
without further ado,umstandslos
without red tape,unbürokratisch
be on fire,brennen
fall pieces,auseinanderfallen
go pieces,auseinanderbrechen
go pieces,entzweigehen
make start,anfangen
overegg the pudding,überbewerten
overegg the pudding,übertreiben
(the) common touch,Volksnähe
bone of contention,Zankapfel
frame of mind,Geisteshaltung
frame of mind,Geistesverfassung
ins and outs,Besonderheiten
ins and outs,Details
leap of faith,Vertrauensvorschuss
... at that.,... noch dazu.
... at that.,und außerdem ...
... at that.,und dabei ...
at root,im Grunde
Unverified Batter up!,Mach dich bereit!
Unverified Good shout!,Gute Idee!
Heaven forbid!,Gott bewahre!
Heaven forbid!,Gottbewahre!
in spades,im Überfluss
Mercury plunges.,Die Quecksilbersäule fällt.
No way!,Ausgeschlossen!
No way!,Keine Chance!
on balance,unterm Strich
on occasion,öfter mal
on tap,(jederzeit) verfügbar
weather permitting,bei günstiger Witterung
with justice,zu Recht
be game,mitmachen
be yellow,feige sein
bow out,ausscheiden
buy time,Zeit gewinnen
carry weight,von Bedeutung sein
catch fire,in Brand geraten
count in,einplanen
count sheep,Schäfchen zählen
cry wolf,falschen Alarm geben
Unverified face conflict,Konflikten begegnen
feel adrift,durcheinander sein
feel fine,sich wohl fühlen
find traction,Fuß fassen
follow suit,dem Beispiel folgen
forge plans,Pläne schmieden
gather way,Geschwindigkeit drauflegen
go ape,ausflippen
keep mum,Stillschweigen bewahren
kill time,die Zeit vertreiben
lose heart,den Mut verlieren
lose it,ausflippen
lose it,ausrasten
lose it,austicken
make out,zurechtkommen
make sense,(einen) Sinn ergeben
make sense,sinnhaltig sein
overdo things,den Bogen überspannen
pass muster,den Anforderungen genügen
push boundaries,Grenzen sprengen
raise Cain,Radau machen
run riot,sich austoben
show backbone,Rückgrat zeigen
sing small,kleinlaut nachgeben
sing small,kleinlaut sein
spark hopes,Hoffnungen wecken
speak volumes,Bände sprechen
split hairs,Erbsen zählen
split hairs,Haare spalten
split hairs,Haarspalterei betreiben
take place,sich zutragen
take shape,Gestalt gewinnen
wing it,improvisieren
work wonders,Wunder wirken
wreak havoc,verheerenden Schaden anrichten
gaping void,gähnende Leere
Olympic calmness,olympische Ruhe
rumor mill,Gerüchteküche
rumour mill,Gerüchteküche
salient point,springender Punkt
Unverified wide sections,weite Kreise
(in) Indian file,im Gänsemarsch
all in all,alles zusammengenommen
all the more,erst recht
as of late,neuerdings
at close quarters,eng beieinander
at cutthroat prices,zu Schleuderpreisen
at daggers drawn,kampfbereit
at short notice,unverzüglich
at the ready,bereit
at the ready,marschbereit
cheek by jowl,dicht beieinander
cut and dry,eindeutig
for (good) luck,als Glücksbringer
in nutshell,kurz gesagt
in nutshell,kurz zusammengefasst
in pinch,notfalls
in high dudgeon,sehr aufgebracht
in high spirits,aufgedreht
in high spirits,aufgekratzt
in mint condition,neuwertig
in the main,im Allgemeinen
in the process,dabei
in the process,hierbei
Like it matters!,Ganz egal!
not anywhere near,nicht annähernd
not in vain,nicht umsonst
now and then,bisweilen
off the hook,fein raus
off-the-peg,Konfektions-
off-the-rack,Konfektions-
on the fly,spontan
on the rocks,in Geldnot
on the side,zwischendurch
on the whole,so weit
over-the-top,übertrieben
over-the-top,überzogen
so speak,sozusagen
sure as death,bombensicher
That's wrap.,Drehschluss!
There you go!,Bitte schön!
time and again,immer wieder
my mind,meiner Meinung nach
no end,vergebens
no end,vergeblich
the point,treffend
tongue-in-cheek,witzelnd
tried and true,altbewährt
under one's breath,flüsternd
with vengeance,ganz gehörig
with vengeance,gewaltig
with vengeance,mächtig
with vengeance,mit Gewalt
with vengeance,überraschend heftig
with gloves off,schonungslos
without further ado,ohne weiteres
be all eyes,interessiert zuschauen
be all smiles,fröhlich sein
be in demand,gefragt sein
be in pain,Schmerzen haben
be on display,ausgestellt sein
be on display,ausgestellt werden
be on edge,genervt sein
be on edge,gereizt sein
be on edge,nervös sein
be ticked off,verärgert sein
blow one's lid,ausrasten
brave it out,es durchstehen
breed bad blood,Verstimmung verursachen
breed ill blood,Verstimmung verursachen
bring mind,erinnern
call it quits,aufhören
catch break,Glück haben
catch one's breath,durchatmen
come life,lebendig werden
crack smile,lächeln
create stir,Aufsehen erregen
fall into line,sich einfügen
fit the bill,gut passen
go on display,ausgestellt werden
hit the headlines,Schlagzeilen liefern
know the ropes,sich auskennen
know the score,Bescheid wissen
learn the ropes,sich einarbeiten
make difference,etwas bewirken
make good time,gut vorankommen
pull up short,plötzlich bremsen
stand reason,logisch erscheinen
stay with it,dranbleiben
stick with it,dabeibleiben
tighten the purse,Ausgaben mindern
turn belly-up,sterben
win hands down,spielend gewinnen
frame of mind,seelische Verfassung
left-handed compliment,zweifelhaftes Kompliment
million and one,unzählig
thousand and one,unzählig
as ... as they come,äußerst ...
as in duty bound,pflichtgemäß
as often as not,meistens
by fits and starts,stoßweise
every now and then,mitunter
in fits and starts,stoßweise
in no uncertain terms,unmissverständlich
in the final analysis,letztlich
in the first place,ursprünglich
in the long run,langfristig
in the old days,früher
not by any stretch,keineswegs
not in the least,keineswegs
on an equal footing,gleichberechtigt
on the other hand,andererseits
silent as stone,stockstill
cap it all,zu alledem
say the least,gelinde gesagt
with no strings attached,bedingungslos
come an end,enden
fly into rage,aufbrausen
get out of hand,ausarten
get out of hand,überhandnehmen
go hand in hand,zusammengehören
birds of feather,Gleichgesinnte
Dammit!,Teufel noch mal!
Austriacism,Austriazismus
beneath contempt,unter aller Kritik
beneath criticism,unter aller Kritik
Bless me!,Du lieber Himmel!
from scratch,von Grund auf
Heaven forbid!,Bewahre!
Heaven forbid!,Der Himmel bewahre!
How about ...?,Wie wäre es mit ...?
How come?,Wie kommt's?
in sport,im Scherz
in sport,im Spaß
ravenously hungry,hungrig wie ein Wolf
Take heart!,Sei getrost!
Time flies.,Die Zeit verfliegt.
backseat drive,(ständig) dazwischenfunken
be downcast,den Kopf hängenlassen
beggar description,jeder Beschreibung spotten
bid fair,den Anschein haben
book it,sich beeilen
break ground,einen Anfang machen
Unverified bring eyeballs,Aufmerksamkeit generieren
carry weight,ins Gewicht fallen
change tune,andere Saiten aufziehen
come clean,auspacken
count sheep,Schafe zählen
cry wolf,blinden Alarm schlagen
drive insane,wahnsinnig machen
Unverified enchain emotions,faszinieren
face out,durchstehen
gain ground,an Boden gewinnen
go batshit,durchdrehen
go commando,keine Unterwäsche tragen
go south,bergab gehen
hang tough,dranbleiben
hit bottom,die Talsohle erreichen
join forces,gemeinsame Sache machen
jump ship,die Seiten wechseln
lead off,den Reigen anführen
lead off,den Reigen eröffnen
let slide,vernachlässigen
lie doggo,sich verstecken
lie low,sich bedeckt halten
lose ground,an Boden verlieren
make out,herausfinden
make sense,vernünftig sein
part company,getrennte Wege gehen
part ways,getrennte Wege gehen
play coy,sich zieren
play politics,Winkelzüge machen
pussyfoot around,nicht zur Sache kommen
rest easy,beruhigt sein
ride shotgun,Beifahrer sein
run amok,in blinder Wut umherlaufen
run hard,hart zusetzen
see reason,zur Einsicht kommen
sing small,klein beigeben
stand tall,erhobenen Hauptes dastehen
stretch credibility,nicht sehr glaubhaft sein
take cover,in Deckung gehen
take effect,zum Tragen kommen
take pains,sich Mühe geben
take place,sich abspielen
talk drivel,Blech reden
tread water,nicht vorankommen
turn heads,Aufsehen erregen
wear down,mürbe machen
weather out,durchstehen
whistle Dixie,Luftschlösser bauen
wreak havoc,Chaos und Verwüstung anrichten
(set) locution,Ausdruck
devil incarnate,Teufel in Menschengestalt
donkey's years,eine Ewigkeit
money pit,Fass ohne Boden
small beer,Klacks
above and beyond,darüber hinaus
all at once,(ganz) plötzlich
all in all,unterm Strich
all the more,umso
all things considered,unter den Umständen
along the way,in dieser Zeit
along those lines,in der Art
as it were,wie es war
as of late,seit kurzem
as of late,seit Kurzem
as of late,seit Neuestem
as of late,seit neuestem
at any price,zu jedem Preis
at any price,zu jeglichem Preis
at any rate,wenigstens
at arm's length,auf Armlänge
at close quarters,aus der Nähe
at close quarters,aus nächster Nähe
at close quarters,hautnah
at close range,aus kurzer Entfernung
at eye level,auf Augenhöhe
at one's leisure,bei Gelegenheit
at short notice,kurzfristig
at this juncture,unter diesen Umständen
back and forth,hin und her
back and forth,rückwärts und vorwärts
back and forth,vor und zurück
begging your pardon,mit Verlaub
Bless my soul!,Gott behüte!
Bless my soul!,Gott bewahre!
bright and early,in aller Frühe
bruised and battered,verletzt und angeschlagen
by light years,bei weitem
cheek by jowl,Seite an Seite
Don't lose heart!,Nur Mut!
Don't split hairs!,Keine Haarspalterei!
fair and square,anständig und ehrlich
fair and square,offen und ehrlich
Hang it all!,Zum Teufel!
am game!,Ich bin dabei!
in flash,blitzschnell
in nutshell,kurz und knapp
in nutshell,mit einem Wort
in pinch,im Notfall
in trice,im Handumdrehen
in twinkling,im Handumdrehen
in way,auf eine Art
in good time,beizeiten
in good time,frühzeitig
in good time,rechtzeitig
in mint condition,wie neu
in the end,letzten Endes
in the field,an der Front
in the upshot,letzten Endes
in two minds,im Zwiespalt
It beggars belief.,Es ist unfassbar.
Mum's the word!,Nichts verraten!
Never say die.,Nur nicht aufgeben.
not anywhere near,nicht einmal annähernd
Not my department.,Bin nicht zuständig.
Now we're talking!,Schon besser!
on equal footing,auf Augenhöhe
on good authority,aus glaubwürdiger Quelle
on good authority,aus guter Quelle
on good authority,aus sicherer Quelle
on that front,in dieser Hinsicht
on the fly,ohne Vorbereitung
on the nose,haargenau
on the rocks,bankrott
plain and simple,ganz einfach
plain and simple,klar und einfach
Say no more!,Ich weiß Bescheid!
Seeing is believing.,Sehen heißt glauben.
sure as rain,hundertprozentig
There you are!,Na bitte!
There you go.,Hier bitte schön.
time and again,wieder und wieder
times without number,unzählige Male
my mind,nach meinem Dafürhalten
the point,auf den Punkt
tongue in cheek,ironisch (gemeint)
tried and tested,seit Langem erprobt
tried and trusted,seit Langem erprobt
under cloud,in Misskredit
under one's breath,im Flüsterton
under the sun,auf Erden
Wait minute!,Moment mal!
with vengeance,mit (aller) Macht
with vengeance,mit voller Kraft
with flying colors,mit Bravour
with flying colours,mit Bravour
without further ado,ohne weitere Umstände
You are welcome!,Gern geschehen!
act in concert,zusammenarbeiten
be all ears,ganz aufmerksam sein
be at stake,in Gefahr sein
be behind it,dahinter stecken
be chasing rainbows,Träumen hinterherjagen
be in attendance,zugegen sein
be in hock,Schulden haben
be on view,zu sehen sein
bend over backwards,sich verbiegen
bite the dust,sterben
blow cover,enttarnen
break sweat,in Schweiß ausbrechen
break sweat,ins Schwitzen kommen
bring light,zutage bringen
burst into tears,in Tränen ausbrechen
carry an election,eine Wahl gewinnen
carry the day,den Sieg davontragen
catch off guard,überraschen
catch eye,auffallen
cease be,das Zeitliche segnen
Unverified change one's mind,umschwenken
Unverified come tearing along,angewetzt kommen
corner the market,den Markt beherrschen
crack joke,einen Witz machen
create milestone,neue Maßstäbe setzen
cross mind,einfallen
cut and run,Reißaus nehmen
cut both ways,zweischneidig sein
draw comparison,einen Vergleich ziehen
duke it out,es untereinander ausfechten
eat humble pie,Abbitte leisten
eat humble pie,klein beigeben
fall in love,sich verlieben
fall into line,sich anpassen
fall into place,klarwerden
fall pieces,in Stücke brechen
fill void,eine Lücke füllen
get hearing,Gehör finden
get off cheaply,glimpflich davonkommen
get off lightly,glimpflich davonkommen
get the ax,entlassen werden
get the axe,entlassen werden
get the boot,entlassen werden
get the hook,entlassen werden
get the jitters,Angst bekommen
go it alone,einen Alleingang machen
go it alone,im Alleingang handeln
go pieces,in Stücke brechen
have ball,Spaß haben
have whinge,meckern
have it coming,es verdient haben
have no hesitation,keine Bedenken haben
have second thoughts,seine Meinung ändern
have the floor,am Wort sein
have the floor,das Wort haben
hit snag,auf Schwierigkeiten stoßen
hit pay dirt,fündig werden
hit the hay,schlafen gehen
hit the headlines,Schlagzeilen machen
hold one's own,tapfer standhalten
jump the gun,überstürzt handeln
jump the gun,voreilig handeln
jump conclusions,voreilige Schlüsse ziehen
keep up appearances,das Gesicht wahren
kick the bucket,krepieren
kick the bucket,verrecken
leap conclusions,voreilige Schlüsse ziehen
lock gazes with,einander ansehen
look for trouble,Streit suchen
lose big time,haushoch verlieren
make (a) fuss,Aufhebens machen
make amends,entschädigen
miss the point,am Thema vorbeigehen
not hold water,nicht stichhaltig sein
oil palm,bestechen
oil palm,schmieren
open one's heart,großmütig sein
pack punch,fest zuschlagen
place wager,eine Wette abschließen
play hunch,einer Intuition folgen
prime the pump,(finanzielle) Starthilfe geben
pull no punches,sich nicht zurückhalten
put shame,beschämen
raise the devil,Krach schlagen
raise the roof,Krach schlagen
run story,einen Artikel drucken
run its course,seinen Verlauf nehmen
save the day,die Lage retten
see the light,zur Erkenntnis kommen
set up shop,ein Geschäft eröffnen
shovel in money,Geld scheffeln
sink into oblivion,in Vergessenheit geraten
sink into obscurity,in Vergessenheit geraten
smell rat,Verdacht schöpfen
spill the beans,alles ausplaudern
start from scratch,ganz neu beginnen
stay the course,die Sache durchziehen
strike balance,ein Gleichgewicht herstellen
take call,einen Anruf annehmen
take gamble,ein Risiko eingehen
take advantage of,übervorteilen
take its toll,seine Opfer fordern
take task,tadeln
take the heat,dem Druck standhalten
test the waters,die Stimmung testen
toil and moil,sich abrackern
turn the tables,die Rollen tauschen
unveil the truth,die Wahrheit enthüllen
vanish into oblivion,in Vergessenheit geraten
weather the storm,eine Sache überstehen
win the day,den Kampf gewinnen
mixed blessing,ein zweifelhafter Segen
yawning void,gähnende Leere
bundle of nerves,Nervenbündel
hammer and chisel,Schlägel und Eisen
hard-earned money,mühsam verdientes Geld
upside-down world,verkehrte Welt
(as) dead as mutton,mausetot
(up) in the air,ungewiss
as right as rain,pudelwohl
as surely as death,bombensicher
at crack of dawn,zu Tagesanbruch
But me no buts.,Keine Widerrede!
clean as whistle,blitzblank
everyone and his dog,absolut jeder
from bad worse,immer schlechter
happy as king,kreuzfidel
happy as sandboy,kreuzfidel
in the first place,schon vorher
in the first place,von vornherein
in the long run,langfristig gesehen
in the old days,früher einmal
of the first chop,erster Klasse
out of one's depth,überfordert
right off the bat,prompt
right off the bat,sofort
time and time again,immer wieder
say the least,gelinde ausgedrückt
with all one's heart,innig
with no strings attached,ohne Auflagen
ask for the moon,Unmögliches verlangen
back the truck up,zurückrudern
be at loss,ratlos sein
be caught off guard,überrascht werden
be in high spirits,ausgelassen sein
be on cloud nine,überglücklich sein
be on the road,unterwegs sein
be out of place,unangebracht sein
beat about the bush,Ausflüchte machen
call it day,aufhören
chuck up the sponge,aufgeben
come away empty-handed,leer ausgehen
come head,sich zuspitzen
come an end,aufhören
come an end,endigen
cry for the moon,Unmögliches verlangen
do away with oneself,Selbstmord begehen
drop by the wayside,aufgeben
duck out of sight,sich verstecken
fall on deaf ears,(ungehört) verhallen
feel at loss,verunsichert sein
fill fit the bill,geeignet sein
fly into rage,auffahren
get out of hand,ausufern
